tickers,name,sector,market,8월1일psr,8월1일pbr2,8월1일_s_return,8월1일_l_return,순매수강도(20일),s_growth,l_growth,roe,deb,3주후 수익률,수익률상위권2,cluster8월1일_6차와같은방식
a308080,바이젠셀,건강관리,kosdaq,-6.375200703,1.288292683,-0.1058823529411764,0.0016474464579901,0.021598987172071003,0.389312977,0.131704774,150.62,-204.63,-0.073170732,0,1
a241820,피씨엘,건강관리,kosdaq,2.343736507,2.754594595,-0.2918287937743191,-0.0446194225721784,0.050632396021572566,-0.193058568,0.131704774,-17.43,161.38,0.093093093,1,0
a314130,지놈앤컴퍼니,건강관리,kosdaq,14.19253709,2.058019868,-0.2620904836193448,0.0223342939481268,0.06479389897543705,27.2,0.131704774,-54.56,14.91,-0.060264901,0,0
a03481K,해성산업1우,비철금속,kosdaq,0.005233969,0.009454906,-0.1697127937336814,-0.0154798761609907,-0.05166986786975782,0.351700571,3.996121787,3.4,88.63,-0.054509415,0,3
a034810,해성산업,비철금속,kosdaq,0.111369245,0.285386364,-0.0688172043010752,0.0200235571260306,0.019592844744144435,0.351700571,3.996121787,3.4,88.63,-0.015909091,0,3
a228760,지노믹트리,건강관리,kosdaq,11.83630666,3.025818182,0.1921032649962035,0.0827586206896551,-0.02100077213100487,4.862745098,3.636425772,-5.97,51.46,0.141818182,1,3
a365590,하이딥,반도체,kosdaq,12.51165483,12.19269268,-0.1417989417989417,0.0318066157760814,0.0041628384516507605,0.360902256,3.489688323,-52.91,109.51,-0.208780488,0,3
a028080,휴맥스홀딩스,IT가전,kosdaq,0.116324797,0.687144886,-0.1422872340425532,0.0369774919614147,0.04265205870951479,88.41025641,3.21696178,-12.86,215.44,-0.083806818,0,3
a328130,루닛,건강관리,kosdaq,160.8724105,32.14543002,2.02,0.0640046975924838,-0.058475930880940684,1.106060606,3.111449259,-110.27,40.99,0.018549747,1,3
a205470,휴마시스,건강관리,kosdaq,0.695874491,0.898181818,-0.1392190152801358,0.0410677618069815,0.020857377798304915,0.46457427,2.713954146,66.56,34.84,0.181818182,1,3
a338220,뷰노,건강관리,kosdaq,56.42220434,24.95181518,1.2282608695652173,0.0789473684210526,-0.0015626283055103912,2.772727273,2.462177786,-75.88,89.27,0.353135314,1,3
